StateFIPS,State,Year,ANNUAL_MEDIAN_HOUSEHOLD_INCOME,ER_visits_hri_age_0_4,ER_visits_hri_age_5_14,ER_visits_hri_age_15_34,ER_visits_hri_age_35_64,ER_visits_hri_age_over_65,total_ER_visits,days_over_90_degrees,days_over_95_degrees,days_over_100_degrees,days_over_105_degrees,num_counties,HSP_visits_age_0_4,HSP_visits_age_5_14,HSP_visits_age_15_34,HSP_visits_age_35_64,HSP_visits_age_over_65,total_HS,HE_over_90_degrees,HE_over_95_degrees,HE_over_100_degrees,HE_over_105_degrees,mortality_HRI,worker_HRI_cases
22,Louisiana,2018,48021,17,137,1086,1341,390,2971,6090,1917,225,15,64,0,3,38,111,67,219,5876,1750,161,11,20,90
22,Louisiana,2019,51108,16,102,1187,1713,441,3459,5723,1244,90,0,64,0,1,64,151,77,293,5380,1074,80,0,12,60
22,Louisiana,2020,51730,7,42,760,1164,372,2345,3968,466,0,0,64,0,0,36,98,38,172,3504,344,0,0,14,20
23,Maine,2011,46160,2,13,79,109,50,253,0,0,0,0,16,0,1,1,9,16,27,0,0,0,0,0,No Data
23,Maine,2012,46856,6,9,63,68,40,186,0,0,0,0,16,0,0,1,7,2,10,0,0,0,0,Suppressed,20
23,Maine,2013,47095,5,21,91,119,49,285,1,0,0,0,16,0,0,2,5,10,17,0,0,0,0,Suppressed,No Data
23,Maine,2014,49381,2,8,69,69,26,174,0,0,0,0,16,0,0,0,2,5,7,0,0,0,0,0,No Data
23,Maine,2015,51419,3,15,69,71,42,200,0,0,0,0,16,0,0,1,4,5,10,0,0,0,0,0,No Data
23,Maine,2016,52926,5,10,54,73,43,185,6,0,0,0,16,1,0,0,3,2,6,2,0,0,0,Suppressed,20
23,Maine,2017,55980,1,17,75,64,42,199,0,0,0,0,16,0,0,3,3,4,10,0,0,0,0,0,No Data
23,Maine,2018,55579,4,22,114,106,75,321,0,0,0,0,16,0,0,5,7,13,25,0,0,0,0,Suppressed,No Data
23,Maine,2019,58824,1,10,78,86,58,233,0,0,0,0,16,0,0,1,3,4,8,0,0,0,0,Suppressed,20
23,Maine,2020,59145,4,9,87,73,55,228,0,0,0,0,16,0,0,2,6,8,16,0,0,0,0,0,No Data
24,Maryland,2011,70075,23,148,371,517,203,1262,515,138,29,2,24,0,0,14,99,73,186,461,102,12,0,34,80
24,Maryland,2012,71169,30,129,513,638,328,1638,691,235,44,0,24,2,1,30,97,132,262,637,152,14,0,43,90
24,Maryland,2013,72482,18,66,320,404,124,932,271,32,0,0,24,1,0,17,50,34,102,224,24,0,0,17,50
24,Maryland,2014,73851,20,36,249,291,106,702,410,104,2,0,24,0,0,9,29,22,60,312,27,0,0,Suppressed,20
24,Maryland,2015,75784,24,89,338,387,122,960,127,0,0,0,24,0,4,17,36,20,77,78,0,0,0,Suppressed,60
24,Maryland,2016,78787,23,124,448,620,244,1459,413,27,0,0,24,0,0,24,72,51,147,321,8,0,0,29,60
24,Maryland,2017,80711,14,65,300,389,162,930,185,21,0,0,24,0,0,12,54,25,91,129,18,0,0,Suppressed,20
24,Maryland,2018,83076,23,90,478,563,283,1437,191,0,0,0,24,0,0,30,69,67,166,160,0,0,0,30,130
24,Maryland,2019,86644,16,77,403,526,272,1294,297,37,0,0,24,0,0,28,56,48,132,203,28,0,0,25,130
24,Maryland,2020,88589,9,31,255,370,177,842,314,20,0,0,24,0,1,15,54,43,113,249,15,0,0,28,40
25,Massachusetts,2011,63126,10,62,278,273,117,740,26,6,0,0,14,0,0,14,32,35,81,26,0,0,0,Suppressed,20
25,Massachusetts,2012,65378,19,66,278,346,177,886,39,0,0,0,14,1,0,16,34,52,103,30,0,0,0,0,No Data
25,Massachusetts,2013,66794,20,88,411,500,211,1230,64,2,0,0,14,0,1,20,59,48,128,43,0,0,0,Suppressed,20
25,Massachusetts,2014,69200,9,62,227,210,92,600,43,0,0,0,14,0,0,7,25,17,49,27,0,0,0,Suppressed,No Data
25,Massachusetts,2015,70659,18,50,250,242,120,680,22,1,0,0,14,1,2,11,13,31,58,14,0,0,0,0,No Data
25,Massachusetts,2016,75207,13,55,289,283,148,788,70,0,0,0,14,1,0,25,37,26,89,37,0,0,0,Suppressed,60
25,Massachusetts,2017,77385,10,39,204,249,137,639,0,0,0,0,14,0,0,10,48,34,92,0,0,0,0,Suppressed,No Data
25,Massachusetts,2018,79817,8,61,352,406,239,1066,64,6,0,0,14,0,1,21,57,54,133,41,4,0,0,Suppressed,30
25,Massachusetts,2019,85700,8,16,222,291,180,717,15,0,0,0,14,0,0,12,26,43,81,10,0,0,0,Suppressed,30
25,Massachusetts,2020,87288,8,13,170,233,141,565,59,4,0,0,14,0,0,13,40,42,95,47,4,0,0,Suppressed,20
26,Michigan,2018,56640,46,127,635,751,324,1883,378,0,0,0,83,4,1,35,105,110,255,279,0,0,0,10,40
26,Michigan,2019,59522,26,87,489,511,224,1337,107,0,0,0,83,0,5,32,64,55,156,82,0,0,0,Suppressed,No Data
26,Michigan,2020,61352,12,46,420,499,257,1234,320,45,1,0,83,0,2,29,81,75,187,201,8,0,0,12,20
27,Minnesota,2011,56944,21,107,494,494,186,1302,2342,925,247,83,87,1,3,20,77,54,155,1849,596,87,16,Suppressed,70
27,Minnesota,2012,58828,18,105,460,471,171,1225,3692,2128,801,201,87,2,3,19,56,44,124,3261,1711,498,78,11,370
27,Minnesota,2013,60664,11,77,332,304,151,875,2127,1081,525,101,87,0,1,18,46,29,94,1770,876,342,44,Suppressed,40
27,Minnesota,2014,61473,17,24,182,151,61,435,1227,230,63,6,87,1,0,10,15,11,37,1011,101,26,0,Suppressed,No Data
27,Minnesota,2015,63459,6,47,259,236,104,652,2063,671,143,3,87,0,1,7,14,14,36,1667,465,80,0,Suppressed,No Data
27,Minnesota,2016,65583,13,65,265,269,116,728,991,199,13,0,87,0,0,6,18,9,33,638,86,2,0,0,30
27,Minnesota,2017,68364,12,36,170,150,70,438,1068,243,27,0,87,1,1,11,7,15,35,733,92,0,0,Suppressed,20
27,Minnesota,2018,70295,13,64,312,348,183,920,1441,241,45,6,87,2,2,14,38,33,89,1098,143,37,0,Suppressed,20
27,Minnesota,2019,74529,12,41,226,229,137,645,515,20,0,0,87,1,2,6,16,20,45,391,4,0,0,Suppressed,30
27,Minnesota,2020,75489,2,22,215,243,131,613,1343,313,81,10,87,0,0,7,22,29,58,939,246,59,6,Suppressed,60
29,Missouri,2011,45231,37,163,1357,1659,422,3638,8365,5062,2536,1099,115,1,0,79,238,160,478,8103,4775,2367,980,46,160
29,Missouri,2012,45320,44,148,1204,1366,408,3170,9496,6701,4085,2117,115,1,4,75,215,116,411,9154,6345,3822,1869,50,90
29,Missouri,2013,46905,24,78,714,807,223,1846,6262,2704,1038,139,115,1,1,52,111,52,217,5837,2412,901,49,15,30
29,Missouri,2014,48288,31,99,687,784,224,1825,7833,4243,1976,542,115,0,0,26,94,41,161,7303,3808,1646,443,12,40
29,Missouri,2015,50200,30,87,898,1117,282,2414,4029,584,3,0,115,2,0,58,139,78,277,3463,325,3,0,14,40
29,Missouri,2016,51713,28,124,1136,1396,353,3037,5828,1180,65,4,115,3,3,53,187,104,350,5489,881,22,0,23,30
29,Missouri,2017,53506,18,102,708,902,260,1990,4637,1271,192,25,115,0,0,31,124,64,219,4199,1062,116,0,18,70
29,Missouri,2018,54412,25,129,945,1144,302,2545,8821,3850,1136,142,115,1,2,65,173,108,349,8304,3455,981,111,25,460
29,Missouri,2019,57375,21,94,846,1076,372,2409,3559,371,2,0,115,1,2,40,124,92,259,2913,270,2,0,11,40
29,Missouri,2020,58812,11,42,515,808,290,1666,2977,113,1,0,115,1,0,23,71,73,168,2337,64,0,0,Suppressed,No Data
31,Nebraska,2014,52803,3,21,113,92,42,271,3959,2043,786,313,93,0,0,1,5,3,9,3472,1764,613,232,Suppressed,No Data
31,Nebraska,2015,55073,5,24,125,132,59,345,4422,1933,450,23,93,0,0,1,8,7,16,3906,1424,188,0,0,40
31,Nebraska,2016,56979,3,44,174,189,77,487,4994,2009,481,81,93,0,0,2,17,21,40,4635,1579,345,66,Suppressed,30
31,Nebraska,2017,59913,4,38,158,143,84,427,4294,1999,767,101,93,0,0,2,19,18,39,3767,1644,589,10,Suppressed,60
31,Nebraska,2018,59724,4,33,164,173,103,477,4888,1711,277,10,93,0,0,7,10,21,38,4390,1340,183,7,Suppressed,30
31,Nebraska,2019,63290,10,23,166,184,96,479,2868,749,39,0,93,0,0,5,19,18,42,2219,544,27,0,Suppressed,No Data
31,Nebraska,2020,64735,3,11,122,128,79,343,6193,2670,981,107,93,0,0,5,16,14,35,5624,2227,750,18,Suppressed,20
33,New Hampshire,2012,63157,1,6,85,74,39,205,4,0,0,0,10,0,0,3,5,7,15,0,0,0,0,Suppressed,No Data
33,New Hampshire,2013,64064,4,11,91,106,45,257,22,0,0,0,10,0,0,1,7,5,13,14,0,0,0,Suppressed,No Data
33,New Hampshire,2014,66469,5,9,58,63,17,152,6,0,0,0,10,0,0,2,8,2,12,2,0,0,0,0,No Data
33,New Hampshire,2015,70003,1,18,50,52,29,150,0,0,0,0,10,0,0,1,5,4,10,0,0,0,0,0,No Data
33,New Hampshire,2016,70986,3,21,59,73,43,199,14,1,0,0,10,0,0,2,1,5,8,8,0,0,0,0,No Data
33,New Hampshire,2017,73638,5,18,59,58,37,177,0,0,0,0,10,0,0,0,6,6,12,0,0,0,0,0,No Data
33,New Hampshire,2018,75322,11,16,98,95,51,271,7,0,0,0,10,0,0,0,8,4,12,4,0,0,0,0,No Data
33,New Hampshire,2019,78571,5,13,65,74,32,189,4,0,0,0,10,0,0,5,3,6,14,0,0,0,0,Suppressed,No Data
33,New Hampshire,2020,81415,4,5,47,68,37,161,6,0,0,0,10,0,0,2,6,9,17,2,0,0,0,Suppressed,No Data
34,New Jersey,2011,67574,19,91,300,436,210,1056,234,59,7,0,21,0,2,7,55,70,134,172,47,0,0,16,90
34,New Jersey,2012,69705,21,102,491,596,180,1390,503,127,16,0,21,1,1,18,84,79,183,464,48,0,0,Suppressed,50
34,New Jersey,2013,70224,12,100,509,558,172,1351,274,59,1,0,21,1,2,24,82,84,193,241,48,0,0,Suppressed,50
34,New Jersey,2014,71968,18,69,281,258,104,730,229,42,0,0,21,2,1,16,26,28,73,137,8,0,0,0,50
34,New Jersey,2015,72337,27,107,418,386,155,1093,112,1,0,0,21,0,2,26,52,45,125,80,0,0,0,Suppressed,20
34,New Jersey,2016,76212,13,115,441,519,194,1282,317,20,0,0,21,1,2,27,68,73,171,216,9,0,0,Suppressed,110
34,New Jersey,2017,80106,9,79,268,315,131,802,90,0,0,0,21,0,0,14,33,30,77,61,0,0,0,Suppressed,30
34,New Jersey,2018,81777,20,103,397,458,212,1190,187,0,0,0,21,13,0,25,63,61,162,157,0,0,0,Suppressed,100
34,New Jersey,2019,85786,15,100,346,454,175,1090,104,7,0,0,21,0,0,11,61,58,130,60,4,0,0,Suppressed,50
34,New Jersey,2020,87095,2,38,208,330,120,698,166,0,0,0,21,0,0,15,51,52,118,123,0,0,0,Suppressed,50
35,New Mexico,2011,42097,7,24,108,94,30,263,1980,1126,329,33,33,0,1,8,13,11,33,1923,1076,298,22,Suppressed,No Data
35,New Mexico,2012,42828,7,19,100,107,29,262,2051,905,203,13,33,6,4,14,10,13,47,1983,832,172,6,Suppressed,No Data
35,New Mexico,2013,44026,10,19,100,117,28,274,1466,646,143,12,33,2,0,4,6,4,16,1382,583,117,6,Suppressed,No Data
35,New Mexico,2014,44905,6,21,100,89,29,245,1188,471,99,12,33,0,0,4,12,7,23,1096,421,81,8,Suppressed,No Data
35,New Mexico,2015,45524,7,23,113,121,36,300,1516,555,93,1,33,0,0,6,17,10,33,1450,491,72,0,Suppressed,30
35,New Mexico,2016,46844,2,20,116,149,52,339,1402,663,175,19,33,1,1,7,19,10,38,1333,629,157,16,10,No Data
35,New Mexico,2017,47086,6,18,106,121,55,306,1259,453,105,13,33,1,0,4,24,3,32,1183,410,91,9,Suppressed,No Data
35,New Mexico,2018,47405,4,26,102,134,54,320,1810,737,167,12,33,1,1,7,12,18,39,1731,670,127,4,Suppressed,No Data
35,New Mexico,2019,52021,8,35,109,137,38,327,1690,716,139,8,33,0,0,6,22,13,41,1633,655,118,2,Suppressed,No Data
35,New Mexico,2020,52285,2,6,94,129,62,293,2046,993,273,49,33,0,0,6,21,19,46,1960,926,239,37,12,No Data
36,New York,2011,55147,52,221,871,1029,545,2718,124,19,1,0,62,5,2,44,146,218,415,84,13,0,0,44,90
36,New York,2012,56357,44,212,811,981,501,2549,237,49,6,0,62,4,3,46,138,166,357,166,20,0,0,15,50
36,New York,2013,57255,45,170,827,949,588,2579,207,47,1,0,62,2,2,39,142,205,390,154,43,0,0,42,100
36,New York,2014,58771,33,108,475,440,193,1249,40,0,0,0,62,3,1,26,55,47,132,12,0,0,0,Suppressed,40
36,New York,2015,60805,39,151,825,884,353,2252,41,0,0,0,62,3,8,35,62,68,176,19,0,0,0,Suppressed,40
36,New York,2016,62700,39,141,681,809,440,2110,226,4,0,0,62,5,3,36,94,141,279,132,0,0,0,11,80
36,New York,2017,64783,28,110,425,501,310,1374,27,0,0,0,62,1,0,24,72,106,203,16,0,0,0,13,60
36,New York,2018,67648,51,179,728,957,590,2505,183,0,0,0,62,2,5,48,136,172,363,128,0,0,0,17,250
36,New York,2019,72038,30,127,575,730,508,1970,69,1,0,0,62,1,2,32,123,159,317,42,0,0,0,26,60
36,New York,2020,73354,16,43,395,565,396,1415,100,2,0,0,62,1,2,36,108,141,288,53,2,0,0,13,90
41,Oregon,2018,63168,7,28,148,218,101,502,413,165,51,10,36,0,0,3,16,10,29,359,139,39,7,Suppressed,40
41,Oregon,2019,66955,2,18,131,155,86,392,225,69,15,0,36,0,1,3,13,10,27,187,55,13,0,Suppressed,No Data
41,Oregon,2020,67832,3,14,104,129,87,337,403,125,38,6,36,0,0,6,14,13,33,347,94,24,4,Suppressed,No Data
42,Pennsylvania,2016,56897,6,49,200,231,98,584,609,31,0,0,67,0,3,43,95,96,237,451,4,0,0,20,30
42,Pennsylvania,2017,59165,10,58,260,253,132,713,90,0,0,0,67,0,3,25,75,77,180,58,0,0,0,Suppressed,30
42,Pennsylvania,2018,60891,16,92,459,544,273,1384,207,0,0,0,67,3,6,42,128,120,299,156,0,0,0,29,80
42,Pennsylvania,2019,63455,23,84,492,551,252,1402,148,2,0,0,67,0,3,37,88,115,243,110,0,0,0,23,100
42,Pennsylvania,2020,64898,14,46,374,443,203,1080,224,0,0,0,67,2,1,25,83,95,206,137,0,0,0,18,50
44,Rhode Island,2011,53152,2,11,33,48,18,112,8,3,0,0,5,0,0,4,7,4,15,6,0,0,0,0,No Data
44,Rhode Island,2012,54002,3,7,62,64,29,165,25,0,0,0,5,0,0,3,4,10,17,11,0,0,0,0,No Data
