StateFIPS,State,Year,ANNUAL_MEDIAN_HOUSEHOLD_INCOME,ER_visits_hri_age_0_4,ER_visits_hri_age_5_14,ER_visits_hri_age_15_34,ER_visits_hri_age_35_64,ER_visits_hri_age_over_65,total_ER_visits,days_over_90_degrees,days_over_95_degrees,days_over_100_degrees,days_over_105_degrees,num_counties.x,HSP_visits_age_0_4,HSP_visits_age_5_14,HSP_visits_age_15_34,HSP_visits_age_35_64,HSP_visits_age_over_65,total_HS,HE_over_90_degrees,HE_over_95_degrees,HE_over_100_degrees,HE_over_105_degrees,num_counties.y,mortality_HRI,worker_HRI_cases
21,Kentucky,2016,46610,12,67,667,908,252,1906,21.841666666666665,0.36666666666666664,0,0,120,0,0,42,104,34,180,17.108333333333334,0.06666666666666667,0,0,120,Suppressed,70
21,Kentucky,2017,48332,8,53,415,573,151,1200,13.8,1.1833333333333333,0,0,120,0,0,19,59,35,113,10.816666666666666,0.7583333333333333,0,0,120,Suppressed,20
21,Kentucky,2018,50189,14,96,719,985,292,2106,19.45,1.375,0,0,120,0,1,31,94,55,181,16.666666666666668,0.8083333333333333,0,0,120,10,50
21,Kentucky,2019,52256,20,115,580,886,280,1881,19.516666666666666,0.5333333333333333,0,0,120,1,1,20,78,50,150,16.475,0.4083333333333333,0,0,120,Suppressed,20
21,Kentucky,2020,54074,11,33,382,610,178,1214,10.525,0.016666666666666666,0,0,120,0,0,21,62,40,123,7.508333333333334,0,0,0,120,Suppressed,40
22,Louisiana,2011,41804,22,141,1095,1356,327,2941,130.109375,85.546875,44.3125,11.84375,64,3,3,52,169,63,290,126.625,82.84375,42.265625,10.140625,64,17,90
22,Louisiana,2012,42998,21,84,914,1059,249,2327,97.796875,42.515625,15.390625,1.890625,64,0,3,42,116,48,209,93.21875,39.390625,13.859375,1.59375,64,13,80
22,Louisiana,2013,44234,14,84,873,1019,237,2227,93.4375,46.8125,16.203125,2.265625,64,2,0,37,99,37,175,88.234375,44.375,14.5,1.84375,64,Suppressed,80
22,Louisiana,2014,44680,22,91,1000,990,219,2322,106.765625,50.8125,17.15625,1.796875,64,1,0,48,100,37,186,102.796875,47.65625,15.625,1.140625,64,Suppressed,50
22,Louisiana,2015,45829,20,110,1111,1284,311,2836,80.546875,21.609375,2.15625,0.34375,64,1,4,63,131,44,243,76.640625,18.59375,1.75,0.34375,64,10,50
22,Louisiana,2016,45374,19,109,1093,1465,315,3001,72.53125,7.328125,0,0,64,0,2,54,133,66,255,68.296875,5.984375,0,0,64,11,80
22,Louisiana,2017,46283,16,80,678,886,251,1911,48.25,3.296875,0.0625,0,64,0,0,30,76,35,141,43.609375,2.25,0,0,64,Suppressed,60
22,Louisiana,2018,48021,17,137,1086,1341,390,2971,95.15625,29.953125,3.515625,0.234375,64,0,3,38,111,67,219,91.8125,27.34375,2.515625,0.171875,64,20,90
22,Louisiana,2019,51108,16,102,1187,1713,441,3459,89.421875,19.4375,1.40625,0,64,0,1,64,151,77,293,84.0625,16.78125,1.25,0,64,12,60
22,Louisiana,2020,51730,7,42,760,1164,372,2345,62,7.28125,0,0,64,0,0,36,98,38,172,54.75,5.375,0,0,64,14,20
23,Maine,2011,46160,2,13,79,109,50,253,0,0,0,0,16,0,1,1,9,16,27,0,0,0,0,16,0,No Data
23,Maine,2012,46856,6,9,63,68,40,186,0,0,0,0,16,0,0,1,7,2,10,0,0,0,0,16,Suppressed,20
23,Maine,2013,47095,5,21,91,119,49,285,0.0625,0,0,0,16,0,0,2,5,10,17,0,0,0,0,16,Suppressed,No Data
23,Maine,2014,49381,2,8,69,69,26,174,0,0,0,0,16,0,0,0,2,5,7,0,0,0,0,16,0,No Data
23,Maine,2015,51419,3,15,69,71,42,200,0,0,0,0,16,0,0,1,4,5,10,0,0,0,0,16,0,No Data
23,Maine,2016,52926,5,10,54,73,43,185,0.375,0,0,0,16,1,0,0,3,2,6,0.125,0,0,0,16,Suppressed,20
23,Maine,2017,55980,1,17,75,64,42,199,0,0,0,0,16,0,0,3,3,4,10,0,0,0,0,16,0,No Data
23,Maine,2018,55579,4,22,114,106,75,321,0,0,0,0,16,0,0,5,7,13,25,0,0,0,0,16,Suppressed,No Data
23,Maine,2019,58824,1,10,78,86,58,233,0,0,0,0,16,0,0,1,3,4,8,0,0,0,0,16,Suppressed,20
23,Maine,2020,59145,4,9,87,73,55,228,0,0,0,0,16,0,0,2,6,8,16,0,0,0,0,16,0,No Data
24,Maryland,2011,70075,23,148,371,517,203,1262,21.458333333333332,5.75,1.2083333333333333,0.08333333333333333,24,0,0,14,99,73,186,19.208333333333332,4.25,0.5,0,24,34,80
